animal count,grass count,average energy,average lifespan,average children
15,2,49,0,0
15,4,48,0,0
15,6,47,0,0
15,8,46,0,0
15,10,45,0,0
16,12,44,0,0
16,14,40,0,0
17,16,39,0,0
17,18,35,0,0
18,20,34,0,0
18,22,32,0,0
18,23,31,0,0
18,24,31,0,0
18,24,30,0,0
18,24,31,0,0
18,25,32,0,0
18,26,31,0,0
18,26,30,0,0
19,28,30,0,0
19,29,28,0,0
19,30,27,0,0
19,31,26,0,0
19,31,25,0,0
18,33,27,14,0
18,33,26,0,0
18,35,26,0,0
18,37,25,0,0
16,38,27,21,0
16,39,26,0,0
16,40,25,0,0
16,41,24,0,0
16,42,23,0,0
14,43,26,22,0
14,44,25,0,0
14,45,24,0,0
14,46,23,0,0
14,45,24,0,0
14,45,29,0,0
12,46,35,37,0
12,46,37,0,0
12,47,38,0,0
12,48,37,0,0
10,49,44,41,0
10,50,43,0,0
10,51,42,0,0
10,52,41,0,0
10,53,40,0,0
10,54,39,0,0
10,55,38,0,0
4,56,93,48,0
4,56,92,0,0
4,57,98,0,0
4,58,97,0,0
4,59,96,0,0
4,60,95,0,0
4,61,94,0,0
4,62,93,0,0
4,63,92,0,0
4,64,91,0,0
4,65,90,0,0
4,65,89,0,0
4,66,96,0,0
4,67,95,0,0
4,68,94,0,0
4,68,93,0,0
4,69,99,0,0
4,69,98,0,0
4,71,105,0,0
4,72,104,0,0
4,73,103,0,0
4,74,102,0,0
4,75,101,0,0
4,75,100,0,0
4,76,106,0,0
4,77,105,0,0
4,78,104,0,0
4,77,103,0,0
4,78,117,0,0
4,79,116,0,0
4,79,115,0,0
4,80,122,0,0
4,82,121,0,0
4,83,120,0,0
4,84,126,0,0
4,84,125,0,0
4,85,132,0,0
4,86,131,0,0
4,87,130,0,0
4,88,129,0,0
4,89,128,0,0
4,90,127,0,0
4,91,126,0,0
4,92,125,0,0
4,92,124,0,0
4,93,138,0,0
4,94,144,0,0
4,95,143,0,0
4,95,142,0,0
4,96,149,0,0
4,96,155,0,0
